reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,200;;;;;;;11500;20700;1,79;SEC(DMAc);PMMA;;0,010;;;;;;;32,10;;A;;PNIPAM-co-AA;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC1CC1);0,075;;;;;11700;22700;1,94;SEC(DMAc);PMMA;;0,010;;;;;;;43,00;;A;;PNIPAM-cycloprop-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC1CCC1);0,075;;;;;12000;23100;1,93;SEC(DMAc);PMMA;;0,010;;;;;;;44,00;;A;;PNIPAM-cyclobut-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC1CCCC1);0,075;;;;;12200;23400;1,92;SEC(DMAc);PMMA;;0,010;;;;;;;45,50;;A;;PNIPAM-cyclopent-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC1CCCCCC1);0,075;;;;;12500;24200;1,93;SEC(DMAc);PMMA;;0,010;;;;;;;43,00;;A;;PNIPAM-cyclohept-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC1CCCCCCC1);0,075;;;;;12600;24600;1,95;SEC(DMAc);PMMA;;0,010;;;;;;;42,00;;A;;PNIPAM-cyclooct-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NCCC);0,075;;;;;12600;25100;1,99;SEC(DMAc);PMMA;;0,010;;;;;;;48,00;;A;;PNIPAM-C3-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NCCCC);0,075;;;;;12700;25800;2,02;SEC(DMAc);PMMA;;0,010;;;;;;;43,00;;A;;PNIPAM-C4-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NC(C)(C)C);0,075;;;;;12900;26000;2,01;SEC(DMAc);PMMA;;0,010;;;;;;;47,00;;A;;PNIPAM-C4t-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[C](C)(C)(C#N);[C](C)(C)C#N;[CH2][CH](C(=O)NC(C)C);0,800;[CH2][CH](C(=O)O);0,125;[CH2][CH](C(=O)NCCCCC);0,075;;;;;12900;26600;2,05;SEC(DMAc);PMMA;;0,010;;;;;;;41,00;;A;;PNIPAM-C5-7.5;;;
