reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CC)C[CH2];1;;;;;;;;;4800;;1,11;SEC(CHCl3);PS;0,005;;NaCl;0,4;;;;;83,1;;C;;PEtOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CC)C[CH2];1;;;;;;;;;4800;;1,11;SEC(CHCl3);PS;0,005;;NaCl;0,5;;;;;78,7;;C;;PEtOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Na2SO4;0,1;;;;;19,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Na2SO4;0,2;;;;;15,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Na2SO4;0,3;;;;;11,6;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Na2SO4;0,4;;;;;9,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Na2SO4;0,5;;;;;10,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Li2SO4;0,1;;;;;21,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Li2SO4;0,2;;;;;17,8;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Li2SO4;0,3;;;;;14,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Li2SO4;0,4;;;;;12;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;Li2SO4;0,5;;;;;11,5;;C;;PnPropOx;;;
